"","eda","p3","ent","sex","cs_p13_1","e_con","ur","seg_soc","hrsocup","hij5c","mh_fil2","par_c","sal_sem","exp","exp2"
"1241",56,"5222","26","2","4","5","2","2",60,"3","2","201",6450,38,1444
"1242",27,"9722","26","1","7","6","2","1",48,"0","3","101",4000,4,16
"1243",45,"8343","27","1","4","6","2","1",48,"0","2","101",4000,27,729
"1244",36,"5222","27","2","3","5","2","2",40,"2","2","201",5160,21,441
"1245",26,"5222","28","2","4","6","2","2",54,"2","2","101",3440,8,64
"1246",18,"5222","28","2","3","6","2","2",25,"1","2","301",2150,4,16
"1247",38,"5222","29","2","3","5","2","2",16,"2","2","201",1290,23,529
"1248",47,"5222","29","2","4","5","2","2",20,"2","1","201",2150,29,841
"1249",24,"2811","30","1","6","6","2","1",40,"0","3","101",4000,6,36
"1250",40,"2811","30","1","6","5","2","1",72,"0","3","101",6000,21,441
"1251",46,"2812","30","2","6","6","2","1",36,"2","3","101",4000,25,625
"1252",44,"2811","31","1","6","1","2","1",40,"0","3","101",8000,26,676
"1253",23,"5222","31","1","7","6","2","2",50,"0","2","301",5160,0,0
"1254",32,"5222","31","2","3","5","2","2",42,"3","2","201",1075,19,361
"1255",30,"5222","31","2","2","1","2","2",40,"2","2","301",2580,18,324
"1256",22,"2811","31","1","7","1","2","2",36,"0","2","301",6450,2,4
"1257",39,"5222","32","2","3","1","2","2",54,"3","1","101",1935,24,576
"1258",56,"5113","32","2","3","4","2","2",12,"2","2","301",1935,41,1681
"1259",63,"5222","32","2","2","2","2","2",10,"3","2","101",2150,51,2601
"1260",63,"5222","32","2","2","4","2","0",0,"3","0","101",2150,54,2916
"1261",16,"5222","32","2","3","6","2","2",50,"1","2","301",1720,1,1
"1262",15,"9722","32","1","3","6","2","2",36,"0","3","408",5160,0,0
"1263",19,"5222","32","1","3","6","2","2",42,"0","2","301",300,5,25
"1264",23,"5222","32","2","7","6","2","2",4,"1","2","301",1290,2,4
"1265",49,"5222","32","2","3","5","2","2",40,"3","2","201",1505,34,1156
"1266",51,"5222","3","2","3","3","2","2",40,"3","2","416",7740,36,1296
"1267",19,"5222","3","2","4","6","2","2",25,"1","1","301",2000,2,4
"1268",45,"2811","3","2","6","5","2","1",33,"2","3","101",5000,24,576
"1269",36,"5222","4","2","2","1","2","2",25,"3","2","201",4300,24,576
"1270",49,"8343","4","1","4","6","2","2",40,"0","2","301",5160,31,961
"1271",63,"8343","4","1","3","4","2","2",11,"0","2","101",4300,48,2304
"1272",20,"2811","5","1","6","6","2","2",36,"0","1","301",9030,3,9
"1273",33,"5222","5","2","4","5","2","2",28,"2","2","201",7740,15,225
"1274",17,"5222","6","2","2","1","2","2",25,"2","2","202",4300,5,25
"1275",17,"5222","6","1","4","5","2","0",0,"0","0","201",4300,-1,1
"1276",20,"8343","8","1","3","6","2","2",25,"0","2","408",6450,5,25
"1277",21,"5222","8","2","3","1","2","2",48,"2","2","202",4300,6,36
"1278",34,"5222","10","2","2","6","2","2",27,"2","1","101",2150,22,484
"1279",45,"5222","11","2","2","6","2","2",30,"1","2","301",2150,35,1225
"1280",26,"8343","11","1","4","1","2","2",50,"0","2","101",8160,10,100
"1281",39,"5222","11","2","3","5","2","2",35,"3","1","201",4300,24,576
"1282",23,"5222","11","2","3","2","2","2",62,"2","1","301",1505,8,64
"1283",24,"9722","12","1","3","6","2","2",40,"0","3","301",2500,9,81
"1284",42,"5222","13","2","2","5","2","2",37,"2","2","101",1612.5,30,900
"1285",65,"5222","13","1","3","5","2","0",0,"0","0","101",300,50,2500
"1286",65,"5222","13","2","2","4","2","2",18,"4","2","101",300,57,3249
"1287",53,"5222","14","2","3","5","2","2",40,"3","2","201",6450,38,1444
"1288",25,"5222","14","1","7","6","2","2",48,"0","2","301",8600,2,4
"1289",26,"2811","16","2","6","5","2","2",24,"2","3","201",3440,8,64
"1290",19,"5222","18","2","4","6","2","2",60,"1","1","301",6880,1,1
"1291",26,"5222","18","2","4","6","2","1",48,"1","2","301",6450,8,64
"1292",24,"5222","18","2","7","2","2","2",48,"2","1","403",1400,3,9
"1293",32,"5113","18","2","3","5","2","2",30,"3","2","201",5160,17,289
"1294",55,"5222","19","2","2","1","2","2",58,"2","2","201",7310,43,1849
"1295",41,"2811","19","2","6","3","2","1",40,"3","3","101",2000,23,529
"1296",28,"2811","19","2","6","2","2","1",36,"3","3","301",5000,10,100
"1297",59,"5222","20","2","2","1","2","2",25,"3","2","201",1075,49,2401
"1298",41,"5222","21","2","2","1","2","2",4,"3","2","201",1290,30,900
"1299",31,"5222","21","2","4","1","2","2",54,"3","2","101",4730,13,169
"1300",27,"2811","22","1","6","3","2","1",40,"0","3","501",7000,9,81
"1301",47,"5222","23","2","2","1","2","2",46,"3","2","101",10320,35,1225
"1302",39,"5222","24","2","3","6","2","2",36,"2","2","301",4300,24,576
"1303",51,"5113","24","2","2","5","2","2",0,"1","2","201",3225,39,1521
"1304",63,"5222","25","2","2","4","2","2",72,"2","2","101",2000,52,2704
"1305",39,"5222","26","2","4","6","2","2",60,"3","2","101",8600,21,441
"1306",55,"5222","26","2","6","5","2","2",24,"2","2","101",5160,37,1369
"1307",18,"5222","27","2","4","6","2","2",54,"1","2","301",4300,0,0
